@relation _Users_Siddhartha_Documents_Academics_5thSem_CS626_Project_nlpProject_LyricsSentiAnalysis_NoStemmingLyricsCorpus

@attribute text string
@attribute @@class@@ {Angry,Happy,Romantic,Sad}

@data
'ebolarama\n\n\n\nboys shoot to thrill from the hip this time we put the act in action\n\nwe have tricked the pigs into thinking that this auction is a pageant\n\nin no time there will be makeup on our new set of cutlery\n\nthe livestock is star struck they are all salivating like ravenous cartoons\n\ngoddamn animal you would better watch where you spit\n\nsqueal like soft music if it helps we will dim the lights on the floor\n\nneon bulbs are the cosmetics of swine\n\neverybody looks quite dazzling trussed up in their formal attire\n\nyou would make a great secret if i could keep you but we all spill our guts\n\nwe are locked and loaded drip fed and bloated\n\nour trigger fingers snagged in the mouse trap of the moment\n\nturn the lights off on us like a moth left in the cold in the dark begging for more\n\nwhen the urgency strikes you you would better not lose your nerve\n\nit the rush that the cockroaches get at the end of the world it is alright\n\nthere a pail by the bed if you need one but you are doing just fine\n\nwhen in rome we shall do as the romans when in hell we do shots at the bar\n\nlast call kill it\n\nwe don not think in terms of the morning afters and we don not utter a single word of the night before\n\nin the meantime we are just thoughtless incessant buzzing apparatus\n\ndisillusioned and lonelier than the last man standing it doesn not get any better than this so run like hell\n\nthis is a rock and roll takeover\n\nliving each day one night at a time\n\nthere were mercy fucks there was blood\n\nyou should have been there by my side\n\nthis is passion this is red handed denial\n\ni have no lover and she hasn not the prettiest eyes last call kill it',Angry
'firefly\n\n\n\nyou my friend\n\nyou are a lot like them\n\nbut i caught your lie\n\nand you know i did\n\nnow i am lost in you\n\nlike i always do\n\nand i would die to win\n\ncause i am born to lose\n\n\n\nfirefly\n\ncould you shine your light\n\nnow i know your ways\n\ncause they are just like mine\n\nnow i am justified\n\nas i fall in line\n\nand it is hard to try\n\nwhen you are open wide\n\n\n\ntake my hand\n\nwe will be off and then\n\nwe will come back again\n\nto a different land\n\nnow i like this way\n\nyou can go away\n\nif you guess the name\n\nyou cannot replace\n\n\n\nbring me your enemies\n\nlay them before me\n\nand walk away\n\n\n\nfuck you firefly\n\nhave you lost your light\n\nnow i hate your ways\n\ncause they are just like mine\n\nso you lost my friend\n\nsuch a sorry end\n\nand i don not know why\n\nso i choke and smile',Angry
'forfeit\n\n\n\nwill not be shaken\n\nand jump into this\n\nand be persuasive just carry on\n\nmake my mind up to go though this\n\nor be firm and sit in silence\n\n\n\ncause i want to fight\n\ni want to fight\n\ni want to prove i am right\n\ni want to fight\n\ni want to fight\n\nso turn and forfeit\n\n\n\nforfeit\n\n\n\nlearn from this\n\nprehistoric dance and\n\nrefrain from talking\n\nsolves our problems\n\n\n\nmedicated could do some good\n\nor find a way to relate\n\nor just shut up\n\n\n\ncause i want to fight\n\ni want to fight\n\ni want to prove i am right\n\ni want to fight\n\ni want to fight\n\nso turn and forfeit\n\n\n\nforfeit\n\nforfeit\n\nforfeit\n\nforfeit\n\nforfeit\n\nforfeit\n\n\n\ni want to fight\n\ni want to fight\n\ni want to prove i am right\n\ni want to fight\n\ni want to fight\n\ni want to prove i am right\n\ni want to fight\n\ni want to fight\n\nso turn and forfeit\n\ni want to fight\n\ni want to fight\n\nso turn and forfeit\n\n\n\nso step up\n\nso step up\n\nand forfeit\n\nso step up\n\n\n\nforfeit\n\nforfeit\n\nforfeit\n\nforfeit\n\nforfeit',Angry
'hey it is your funeral mama\n\n\n\nthe sky is blue the grass is brown\n\nmy head is buried inside this helmet\n\nthe ever present threat of parasites\n\nso take my hand let get these motors running\n\n\n\nso you drive red you drive red\n\nand i will drive black i will drive black\n\nwe will see who machine was most recently serviced\n\nwe will slit these rows of goodyears like a knife\n\n\n\nwe don not fear\n\nthese machines\n\n\n\ni got the scoop i got the scoop\n\nand it doesn not look so good so good for you\n\n\n\nso you drive red you drive red\n\nand i will drive black i will drive black\n\nwe will see who machine was most recently serviced\n\nwe will cut this row of goodyear like a knife\n\nlike a knife like a knife yeah\n\nwe will cut this row of goodyear like a knife\n\n\n\nso you drive red you drive red\n\nand i will drive black i will drive black\n\nwe will see who machine was most recently serviced\n\nwe will cut this row of goodyears like a knife',Angry
'i hate everything about you\n\n\n\nevery time we lie awake\n\nafter every hit we take\n\nevery feeling that i get\n\nbut i haven not missed you yet\n\n\n\nevery roommate kept awake\n\nby every sigh and scream we make\n\nall the feelings that i get\n\nbut i still don not miss you yet\n\n\n\nonly when i stop to think about it\n\n\n\ni hate everything about you\n\nwhy do i love you\n\ni hate everything about you\n\nwhy do i love you\n\n\n\nevery time we lie awake\n\nafter every hit we take\n\nevery feeling that i get\n\nbut i haven not missed you yet\n\n\n\nonly when i stop to think about it\n\n\n\ni hate everything about you\n\nwhy do i love you\n\ni hate everything about you\n\nwhy do i love you\n\n\n\nonly when i stop to think about you\n\ni know\n\nonly when you stop to think about me\n\ndo you know\n\n\n\ni hate everything about you\n\nwhy do i love you\n\nyou hate everything about me\n\nwhy do you love me\n\n\n\ni hate\n\nyou hate\n\ni hate\n\nyou love me\n\n\n\ni hate everything about you\n\nwhy do i love you',Angry
'killing in the name\n\n\n\nkilling in the name of\n\nsome of those that work forces are the same that burn crosses\n\nsome of those that work forces are the same that burn crosses\n\nsome of those that work forces are the same that burn crosses\n\nsome of those that work forces are the same that burn crosses\n\nhuh\n\n\n\nkilling in the name of\n\nkilling in the name of\n\n\n\nand now you do what they told ya \n\nand now you do what they told ya\n\nand now you do what they told ya\n\nand now you do what they told ya\n\nand now you do what they told ya\n\nand now you do what they told ya\n\nand now you do what they told ya\n\nand now you do what they told ya\n\nand now you do what they told ya\n\nand now you do what they told ya\n\nand now you do what they told ya\n\nbut now you do what they told ya\n\nwell now you do what they told ya\n\n\n\nthose who died are justified for wearing the badge they are the chosen whites\n\nyou justify those that died by wearing the badge they are the chosen whites\n\nthose who died are justified for wearing the badge they are the chosen whites\n\nyou justify those that died by wearing the badge they are the chosen whites\n\n\n\nsome of those that work forces are the same that burn crosses\n\nsome of those that work forces are the same that burn crosses\n\nsome of those that work forces are the same that burn crosses\n\nsome of those that work forces are the same that burn crosses\n\nuggh\n\n\n\nkilling in the name of\n\nkilling in the name of\n\n\n\nand now you do what they told ya\n\nand now you do what they told ya\n\nand now you do what they told ya\n\nand now you do what they told ya\n\nand now you do what they told ya now you are under control 7 times\n\nand now you do what they told ya now you are under control\n\nand now you do what they told ya now you are under control\n\nand now you do what they told ya now you are under control\n\nand now you do what they told ya now you are under control\n\nand now you do what they told ya now you are under control\n\nand now you do what they told ya now you are under control\n\nand now you do what they told ya\n\n\n\nthose who died are justified for wearing the badge they are the chosen whites\n\nyou justify those that died by wearing the badge they are the chosen whites\n\nthose who died are justified for wearing the badge they are the chosen whites\n\nyou justify those that died by wearing the badge they are the chosen whites\n\ncome on\n\n\n\nyeah come on\n\n\n\nfuck you i won not do what you tell me\n\nfuck you i won not do what you tell me\n\nfuck you i won not do what you tell me\n\nfuck you i won not do what you tell me\n\nfuck you i won not do what you tell me\n\nfuck you i won not do what you tell me\n\nfuck you i won not do what you tell me\n\nfuck you i won not do what you tell me\n\nfuck you i won not do what you tell me\n\nfuck you i won not do what you tell me\n\nfuck you i won not do what you tell me\n\nfuck you i won not do what you tell me\n\nfuck you i won not do what you tell me\n\nfuck you i won not do what you tell me\n\nfuck you i won not do what you tell me\n\nfuck you i won not do what you tell me\n\nmotherfucker\n\nuggh',Angry
'lip gloss and black\n\n\n\nif i gave you pretty enough words\n\ncould you paint a picture of us that works\n\nan emphasis on function rather than design\n\naren not you tired cause i will carry you on a broken back\n\nand blown out knees i have been where you are for a while\n\n\n\naren not you tired of being weak\n\nsuch rage that you could scream all the stars right out of the sky\n\nand destroy the prettiest starry night every evening that i die\n\n\n\ni am exhumed just a little less human and a lot more bitter and cold \n\ni am exhumed just a little less human\n\na lot more bitter and cold \n\n\n\nafter all these images of pain have cut right through you\n\ni will kiss every scar and weep you are not alone\n\nthen i will show you that place in my chest where my heart still tries to beat it sets us apart\n\n\n\naren not you tired of being weak\n\nsuch rage that you could scream all the stars right out of the sky\n\nand destroy the prettiest starry night every evening that i die\n\n\n\nlive love burn die',Angry
'never too late\n\n\n\nthis world will never be\n\nwhat i expected\n\nand if i don not belong\n\nwho would have guessed it\n\ni will not leave alone\n\neverything that i own\n\nto make you feel like it is not too late\n\nit never too late\n\n\n\neven if i say\n\nit will be alright\n\nstill i hear you say\n\nyou want to end your life\n\nnow and again we try\n\nto just stay alive\n\nmaybe we will turn it all around\n\ncause it is not too late\n\nit never too late\n\n\n\nno one will ever see\n\nthis side reflected\n\nand if there something wrong\n\nwho would have guessed it\n\nand i have left alone\n\neverything that i own\n\nto make you feel like\n\nit not too late\n\nit never too late\n\n\n\neven if i say\n\nit will be alright\n\nstill i hear you say\n\nyou want to end your life\n\nnow and again we try\n\nto just stay alive\n\nmaybe we will turn it all around\n\ncause it is not too late\n\nit never too late\n\n\n\nthe world we knew\n\nwon not come back\n\nthe time we have lost\n\ncan not get back\n\nthe life we had\n\nwon not be ours again\n\n\n\nthis world will never be\n\nwhat i expected\n\nand if i don not belong\n\n\n\neven if i say\n\nit will be alright\n\nstill i hear you say\n\nyou want to end your life\n\nnow and again we try\n\nto just stay alive\n\nmaybe we will turn it all around\n\ncause it is not too late\n\nit never too late\n\nmaybe we will turn it all around\n\ncause it is not too late\n\nit never too late it never too late\n\nit not too late\n\nit never too lateno more sorrow\n\n\n\nare you lost\n\nin your lies\n\ndo you tell yourself i don not realize\n\n\n\nyour crusade a disguise\n\nreplace freedom with fear\n\nyou trade money for lives\n\n\n\ni am aware of what you have done\n\n\n\nchorus]\n\nno no more sorrow\n\ni have paid for your mistakes\n\nyour time is borrowed\n\nyour time has come to be replaced\n\n\n\ni see pain\n\ni see need\n\ni see liars and thieves\n\nabuse power with greed\n\n\n\ni had hope\n\ni believed\n\nbut i am beginning to think that i have been deceived\n\n\n\nyou will pay for what you have done\n\n\n\nchorus]\n\n\n\nthieves and hypocrites\n\nthieves and hypocrites\n\nthieves and hypocrites\n\n\n\nchorus x2]\n\n\n\nyour time has come to be replaced\n\nyour time has come to be erased',Angry
'new divide\n\n\n\ni remembered black skies\n\nthe lightning all around me\n\ni remembered each flash\n\nas time began to blur\n\nlike a startling sign\n\nthat fate had finally found me\n\nand your voice was all i heard\n\nthat i get what i deserve\n\n\n\nso give me reason\n\nto prove me wrong\n\nto wash this memory clean\n\nlet the floods cross\n\nthe distance in your eyes\n\ngive me reason\n\nto fill this hole\n\nconnect the space between\n\nlet it be enough to reach the truth that lies\n\nacross this new divide\n\n\n\nthere was nothing in sight\n\nbut memories left abandoned\n\nthere was nowhere to hide\n\nthe ashes fell like snow\n\nand the ground caved in\n\nbetween where we were standing\n\nand your voice was all i heard\n\nthat i get what i deserve\n\n\n\nso give me reason\n\nto prove me wrong\n\nto wash this memory clean\n\nlet the floods cross\n\nthe distance in your eyes\n\nacross this new divide\n\n\n\nin every loss in every lie\n\nin every truth that you would deny\n\nand each regret and each goodbye\n\nwas a mistake too great to hide\n\nand your voice was all i heard\n\nthat i get what i deserve\n\n\n\nso give me reason\n\nto prove me wrong\n\nto wash this memory clean\n\nlet the floods cross\n\nthe distance in your eyes\n\ngive me reason\n\nto fill this hole\n\nconnect the space between\n\nlet it be enough to reach the truth that lies\n\nacross this new divide\n\nacross this new divide\n\nacross this new divide',Angry
'no more sorrow\n\n\n\nare you lost\n\nin your lies\n\ndo you tell yourself i don not realize\n\n\n\nyour crusade a disguise\n\nreplace freedom with fear\n\nyou trade money for lives\n\n\n\ni am aware of what you have done\n\n\n\nno no more sorrow\n\ni have paid for your mistakes\n\nyour time is borrowed\n\nyour time has come to be replaced\n\n\n\ni see pain\n\ni see need\n\ni see liars and thieves\n\nabuse power with greed\n\n\n\ni had hope\n\ni believed\n\nbut i am beginning to think that i have been deceived\n\n\n\nyou will pay for what you have done\n\n\n\nthieves and hypocrites\n\nthieves and hypocrites\n\nthieves and hypocrites\n\n\n\nyour time has come to be replaced\n\nyour time has come to be erased',Angry
